Type,name,ISO,agentName,Ratified,totalArea,landArea,waterArea,arableLandArea,GDP,GDPRate,availableToSpend,emissionsTarget,carbonOffset,energyOutput,carbonOutput
Group 3,Equatorial Guinea,GNQ,AbstractPostCommunistCountry,36754,28051,28051,0,1299,127486188,0,0,0,0,0,
Group 3,Eritrea,ERI,AbstractPostCommunistCountry,38561,117600,101000,16600,5799,298536138,0,0,0,0,2130,
Group 1/2,Estonia,EST,AbstractPostCommunistCountry,37543,45227,42388,2840,5207,5541745341,0,0,0,0,20733,
Group 3,Ethiopia,ETH,AbstractPostCommunistCountry,38456,1104300,1000000,104300,112080,11463065228,0,0,55104,0,106127,
Group 3,Fiji,FJI,AbstractPostCommunistCountry,36055,18272,18274,0,2001,1220408852,0,0,0,0,0,
Group 1/2,Finland,FIN,AbstractPostCommunistCountry,37407,338424,303815,34330,19913,1.20E+11,0,0,91837,0,116817,
Group 1/2,France,FRA,AbstractPostCommunistCountry,37407,551500,640427,3374,182711,1.11E+12,0,0,686403,0,740606,
Group 3,Gabon,GAB,AbstractPostCommunistCountry,39063,267668,257667,10000,3118,6200188865,0,0,15132,0,5966,
Group 3,"Gambia, The",GMB,AbstractPostCommunistCountry,37043,11295,10000,1295,2788,793462458,0,0,0,0,0,
Group 3,Georgia,GEO,AbstractPostCommunistCountry,36327,69700,69700,0,8022,8010288460,0,0,0,0,7788,
Group 1/2,Germany,DEU,AbstractPostCommunistCountry,37407,357114,348672,8350,115698,1.56E+12,0,0,0,0,980155,
Group 3,Ghana,GHA,AbstractPostCommunistCountry,37771,238533,227533,11000,40507,9971293433,0,0,21556,0,30958,
Group 1/2,Greece,GRC,AbstractPostCommunistCountry,37407,131957,130647,1310,26749,87699269263,0,0,76905,0,105441,
Group 3,Grenada,GRD,AbstractPostCommunistCountry,37474,344,344,0,20,187448148,0,0,0,0,0,
Group 3,Guatemala,GTM,EU,36438,108889,107159,1730,14334,6819965070,0,0,18130,0,27162,
Group 3,Guinea,GIN,EU,36776,245857,245717,140,10990,3117805095,0,0,0,0,0,
Group 3,Guinea-Bissau,GNB,EU,38674,36125,28120,8005,2327,608089197,0,0,0,0,0,
Group 3,Guyana,GUY,EU,37838,214969,196849,18120,4390,613174727,0,0,0,0,0,
Group 3,Haiti,HTI,EU,38539,27750,27560,190,7747,2518398063,0,0,5037,0,8612,
Group 3,Honduras,HND,EU,36726,112492,111890,200,10663,3513843603,0,0,8639,0,16103,
Group 1/2,Hungary,HUN,EU,37489,93028,89608,3420,45782,31368427289,0,0,77268,0,70215,
Group 1/2,Iceland,ISL,EU,37399,103000,100250,2750,70,5468588155,0,0,6287,0,13076,
Group 3,India,IND,EU,37494,3166414,2973193,314070,1451809,2.99E+11,0,0,1247117,0,2453520,
Group 3,Indonesia,IDN,EU,38324,1910931,1811569,93000,201456,1.26E+11,0,0,273539,0,626760,
Group 3,"Iran, Islamic Republic of",IRN,EU,38586,1648195,1531595,116600,160001,89024018062,0,0,229693,0,540181,
Group 3,Iraq,IRQ,EU,40022,438317,437367,950,56700,27473193571,0,0,53282,0,104708,
Group 1/2,Ireland,IRL,EU,37407,70273,68883,1390,11587,42646981894,0,0,35945,0,48355,
Group 3,Israel,ISR,EU,38061,20770,20330,440,3141,55004787438,0,0,34504,0,38991,
Group 1/2,Italy,ITA,EU,37407,301336,294140,7200,77651,1.03E+12,0,0,453973,0,495262,
Group 3,Ivory Coast,CIV,EU,39195,322463,318003,4460,32531,11823904205,0,0,24872,0,28114,
Group 3,Jamaica,JAM,EU,36339,10991,10831,160,1715,4967796195,0,0,9640,0,13797,
Group 1/2,Japan,JPN,EU,37411,377930,364485,13430,43620,3.11E+12,0,0,1295609,0,1456058,
Group 3,Jordan,JOR,EU,37638,89342,88802,540,3053,3797582786,0,0,10602,0,21818,
Group 3,Kazakhstan,KAZ,EU,39983,2724900,2699700,25200,221059,30467641826,0,0,0,0,239831,
Group 3,Kenya,KEN,EU,38408,580367,569140,11227,45597,10357033370,0,0,33333,0,68924,
Group 3,Kiribati,KIR,EU,36776,811,811,0,22,33973827,0,0,0,0,0,
Group 3,"Korea, Democratic People's Republic of",PRK,EU,38469,120538,120408,130,26972,14687601843,0,0,263013,0,88170,
Group 3,"Korea, Republic of",KOR,EU,37568,99828,96920,2800,16280,2.44E+11,0,0,290912,0,627344,
Group 3,Kuwait,KWT,NonAnnexOne,38422,17818,17818,0,150,18623355463,0,0,45452,0,76743,
Group 3,Kyrgyzstan,KGZ,NonAnnexOne,37754,199951,191801,8150,12530,2558817120,0,0,0,0,9158,
Group 3,Laos,LAO,NonAnnexOne,37658,236800,230800,6000,9255,758898676,0,0,0,0,0,
Group 1/2,Latvia,LVA,NonAnnexOne,37442,64559,62249,2340,17926,8554844653,0,0,0,0,11807,
Group 3,Lebanon,LBN,NonAnnexOne,39034,10452,10230,170,1673,2811545761,0,0,9831,0,17809,
Group 3,Liberia,LBR,NonAnnexOne,37565,111369,96320,15049,3304,457784132,0,0,0,0,0,
Group 3,Libya,LBY,NonAnnexOne,38953,1759540,1759540,0,18123,34858631962,0,0,40769,0,58821,
Group 1/2,Lithuania,LTU,NonAnnexOne,37624,65300,62680,2620,29216,10577071752,0,0,0,0,24903,
Group 1/2,Luxembourg,LUX,NonAnnexOne,37407,2586,2586,0,619,10743126861,0,0,11087,0,11969,
Group 3,"Macedonia, the Former Yugoslav Republic of",MKD,NonAnnexOne,38309,25713,25433,280,5471,2605053105,0,0,0,0,14110,
Group 3,Madagascar,MDG,NonAnnexOne,37888,587041,581540,5501,29251,2855496482,0,0,0,0,0,
Group 3,Malawi,MWI,NonAnnexOne,37190,118484,94080,24404,19456,2343787207,0,0,0,0,0,
Group 3,Malaysia,MYS,NonAnnexOne,37503,330803,329613,1190,17939,46087410609,0,0,63727,0,218991,
Group 3,Maldives,MDV,NonAnnexOne,36159,300,298,0,40,187375788,0,0,0,0,0,
Group 3,Mali,MLI,NonAnnexOne,37343,1240192,1220190,20002,45872,2407582725,0,0,0,0,0,
Group 3,Malta,MLT,NonAnnexOne,37206,316,316,0,99,2315861336,0,0,2178,0,2563,
Group 3,Marshall Islands,MHL,NonAnnexOne,37844,181,181,11673,20,76546053,0,0,0,0,0,
